brand, name, size, Orig, Current, Save, Url,
"Puma","evoPOWER 4 Indoor - Blue/White/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","44.99","-44.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-4-Indoor-Soccer-Cleats-Ombre-BlueWhiteFluo-Peach-68940.aspx",
"Puma","evoPOWER 4 FG - Blue/White/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 13","0.0","44.99","-44.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-4-FG-Firm-Ground-Soccer-Cleats-Ombre-BlueWhiteFluo-Peach-68938.aspx",
"Puma","evoSPEED 1.2 SL FG - White/Peach/Blue","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","184.99","-184.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-SL-FG-Firm-Ground-Soccer-Cleats-WhiteFluro-PeachOmbre-Blue-68901.aspx",
"Puma","evoSPEED 1.2 K FG - White/Peach/Blue","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","164.99","-164.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-K-FG-Firm-Ground-Soccer-Cleats-WhiteFluro-PeachOmbre-Blue-68902.aspx",
"Puma","evoSPEED 1.2 FG - White/Peach/Blue","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","144.99","-144.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-FG-Firm-Ground-Soccer-Cleats-WhiteFluro-PeachOmbre-Blue-68903.aspx",
"adidas","Copa Mundial Samba FG - Berry/White/Slime","SIZES  7","0.0","144.99","-144.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-Copa-Mundial-Samba-FG-Firm-Ground-Soccer-Cleats-Vivid-BerryRunning-WhiteSolar-Slime-68690.aspx",
"Mizuno","Morelia NEO MD Japan Edition - Black/White/Lime Punch","SIZES  7, 8, 8, 9, 9, 10, 10, 11","0.0","249.99","-249.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-NEO-MD-Japan-Edition-Soccer-Cleats-BlackWhiteLime-Punch-69318.aspx",
"Mizuno","Morelia AF KR 2 MD Japan Edition - Diva Blue/Bolt","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","199.99","-199.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-AF-KR-2-MD-Japan-Edition-Soccer-Cleats-Diva-BlueBolt-69329.aspx",
"Mizuno","Morelia AF KR 2 MD Japan Edition - Lime Punch/Black","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","199.99","-199.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-AF-KR-2-MD-Japan-Edition-Soccer-Cleats-Lime-PunchBlack-69328.aspx",
"Mizuno","Morelia NEO MD Japan Edition - Pearl/Blue/Orange","SIZES  8, 9, 9, 10, 10, 11","0.0","249.99","-249.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-NEO-MD-Japan-Edition-Pearl-69320.aspx",
"Mizuno","Morelia AF KR 2 MD Japan Edition - Pearl/Fern Green","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","199.99","-199.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-AF-KR-2-MD-Japan-Edition-Soccer-Cleats-PearlFern-Green-69327.aspx",
"Mizuno","Morelia II MD Japan Edition - Aurora/Black/Red","SIZES  8, 8, 9, 9, 10, 10, 11","0.0","199.99","-199.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-II-MD-Japan-Edition-Soccer-Cleats-AuroraBlackChinese-Red-69314.aspx",
"Mizuno","Morelia NEO MD Japan Edition - Wine/White/Gold","SIZES  7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","249.99","-249.99","http://www.prodirectsoccer.com/Products/Mizuno-Football-Boots-Mizuno-Morelia-NEO-MD-Japan-Edition-Soccer-Cleats-WineWhiteGold-69324.aspx",
"Nike","Hypervenom Phantom FG - Blue/Volt/Black","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","159.99","-159.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phantom-FG-Firm-Ground-Soccer-Cleats-Hyper-BlueVoltBlack-72123.aspx",
"Nike","Hypervenom Phatal FG - Blue/Volt/Black","SIZES  6, 6, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","99.99","-99.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phatal-FG-Firm-Ground-Soccer-Cleats-Hyper-BlueVoltBlack-72125.aspx",
"Nike","Tiempo Legend V FG - Black/White","SIZES  5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","139.99","-139.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Legend-V-FG-Firm-Ground-Soccer-Cleats-BlackWhite-72300.aspx",
"Nike","Tiempo Legacy Indoor - Black/White","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","74.99","-74.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Legacy-Indoor-Soccer-Cleats-BlackWhite-72303.aspx",
"Nike","Tiempo Genio Indoor - Black/White","SIZES  7, 8, 8, 9, 9, 10, 10, 11","0.0","49.99","-49.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Genio-Indoor-Soccer-Cleats-BlackWhite-72305.aspx",
"Nike","Tiempo Genio FG - Black/White","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","49.99","-49.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Genio-FG-Firm-Ground-Soccer-Cleats-BlackWhite-72304.aspx",
"Nike","Tiempo Legacy TF - Black/White","SIZES  5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","74.99","-74.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Legacy-TF-Astro-Turf-Soccer-Cleats-BlackWhite-72301.aspx",
"Nike","Tiempo Genio TF - Black/White","SIZES  7, 7, 8, 8, 9, 9, 10, 10, 12","0.0","49.99","-49.99","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Tiempo-Genio-TF-Astro-Turf-Soccer-Cleats-BlackWhite-72306.aspx",
"Puma","evoPOWER 1 Mixed SG - Peach/Blue/Yellow","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","144.99","-144.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-1-Mixed-SG-Soft-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68913.aspx",
"Puma","evoPOWER 1 FG - Peach/Blue/Yellow","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","139.99","-139.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-1-FG-Firm-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68915.aspx",
"Puma","evoPOWER 2 Mixed SG - Peach/Blue/Yellow","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","99.99","-99.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-2-Mixed-SG-Soft-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68916.aspx",
"Puma","evoPOWER 2 FG - Peach/Blue/Yellow","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","94.99","-94.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-2-FG-Firm-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68917.aspx",
"Puma","evoPOWER 3 FG - Peach/Blue/Yellow","SIZES  7, 8, 9, 10, 10, 11","0.0","59.99","-59.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-3-FG-Firm-Ground-Fluo-PeachOmbre-BlueFluo-Yellow-68919.aspx",
"Puma","evoPOWER 4 FG - Peach/Blue/Yellow","SIZES  7, 8, 8, 9, 9, 10, 10, 11","0.0","44.99","-44.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-4-FG-Firm-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68923.aspx",
"Puma","evoPOWER 4 SG - Peach/Blue/Yellow","SIZES  6, 8, 9, 10","0.0","44.99","-44.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-4-SG-Soft-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68922.aspx",
"Puma","evoPOWER 4 AG - Peach/Blue/Yellow","SIZES  6, 7, 8, 9, 10, 10, 11","0.0","44.99","-44.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-4-AG-Artificial-Ground-Soccer-Cleats-Fluo-PeachOmbre-BlueFluo-Yellow-68921.aspx",
"Puma","evoPOWER 1 Camo FG - Tradewinds/Pale Khaki","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 13","0.0","199.99","-199.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoPOWER-1-Camo-FG-Firm-Ground-Soccer-Cleats-TradewindsPale-Khaki-68905.aspx",
"adidas","Predator LZ TRX FG SL - Black/Lime","SIZES  6, 7, 7, 8, 9, 9, 10, 10, 11","0.0","219.99","-219.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-Predator-LZ-TRX-FG-SL-Firm-Ground-Soccer-Cleats-BlackBlackSolar-Lime-68575.aspx",
"adidas","Predator LZ TRX FG SL - White/Silver/Slime","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","219.99","-219.99","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-Predator-LZ-TRX-FG-SL-Firm-Ground-Soccer-Cleats-Running-WhiteMetallic-SilverSolar-Slime-68576.aspx",
"adidas","11Pro TRX FG - White/Black/Blue","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","125.0","100.0","25.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-11Pro-TRX-FG-Firm-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Blue-68682.aspx",
"adidas","11Nova TRX FG - White/Black/Blue","SIZES  7, 7, 8, 8, 9, 9, 10, 10, 11","55.0","44.0","11.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-11Nova-TRX-FG-Firm-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Blue-68683.aspx",
"adidas","11Questra TRX FG - White/Black/Blue","SIZES  7, 8, 9, 10, 10, 11","40.0","32.0","8.0","http://www.prodirectsoccer.com/Products/adidas-Football-Boots-adidas-11Questra-TRX-FG-Firm-Ground-Soccer-Cleats-Running-WhiteBlackSolar-Blue-68684.aspx",
"Puma","evoSPEED 1.2 SL FG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","0.0","184.99","-184.99","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-SL-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68885.aspx",
"Puma","evoSPEED 1.2 K Mixed SG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","170.0","119.0","51.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-K-Mixed-SG-Soft-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68886.aspx",
"Puma","evoSPEED 1.2 K FG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","165.0","115.0","50.0","http://www.prodirectsoccer.com/Products/Puma-Soccer-Shoes-Puma-evoSPEED-12-K-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68887.aspx",
